    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.1489E+03      0.0000E+00      0.1349E+11
  0.1503E+03      0.0000E+00      0.1351E+11
  0.1517E+03      0.0000E+00      0.1353E+11
  0.1530E+03      0.0000E+00      0.1354E+11
  0.1544E+03      0.0000E+00      0.1356E+11
  0.1558E+03      0.0000E+00      0.1358E+11
  0.1571E+03      0.0000E+00      0.1359E+11
  0.1585E+03      0.0000E+00      0.1361E+11
  0.1599E+03      0.0000E+00      0.1363E+11
  0.1612E+03      0.0000E+00      0.1365E+11
  0.1626E+03      0.0000E+00      0.1369E+11
  0.1637E+03      0.0000E+00      0.1371E+11
  0.1643E+03      0.0000E+00      0.1371E+11
  0.1649E+03      0.0000E+00      0.1372E+11
  0.1655E+03      0.0000E+00      0.1372E+11
  0.1661E+03      0.0000E+00      0.1375E+11
  0.1666E+03      0.0000E+00      0.1375E+11
  0.1669E+03      0.0000E+00      0.1375E+11
  0.1675E+03      0.0000E+00      0.1376E+11
  0.1681E+03      0.0000E+00      0.1377E+11
  0.1687E+03      0.0000E+00      0.1377E+11
  0.1692E+03      0.0000E+00      0.1378E+11
  0.1698E+03      0.0000E+00      0.1379E+11
  0.1703E+03      0.0000E+00      0.1380E+11
  0.1709E+03      0.0000E+00      0.1380E+11
  0.1714E+03      0.0000E+00      0.1454E+11
  0.1719E+03      0.0000E+00      0.1455E+11
  0.1724E+03      0.0000E+00      0.1456E+11
  0.1728E+03      0.0000E+00      0.1456E+11
  0.1733E+03      0.0000E+00      0.1457E+11
  0.1738E+03      0.0000E+00      0.1458E+11
  0.1741E+03      0.0000E+00      0.1458E+11
  0.1746E+03      0.0000E+00      0.1459E+11
  0.1750E+03      0.0000E+00      0.1459E+11
  0.1754E+03      0.0000E+00      0.1460E+11
  0.1758E+03      0.0000E+00      0.1460E+11
  0.1762E+03      0.0000E+00      0.1461E+11
  0.1766E+03      0.0000E+00      0.1461E+11
  0.1770E+03      0.0000E+00      0.1462E+11
  0.1773E+03      0.0000E+00      0.1462E+11
  0.1779E+03      0.0000E+00      0.1463E+11
  0.1781E+03      0.0000E+00      0.1463E+11
  0.1784E+03      0.0000E+00      0.1464E+11
  0.1787E+03      0.0000E+00      0.1464E+11
  0.1789E+03      0.0000E+00      0.1464E+11
  0.1792E+03      0.0000E+00      0.1465E+11
  0.1794E+03      0.0000E+00      0.1465E+11
  0.1797E+03      0.0000E+00      0.1465E+11
  0.1799E+03      0.0000E+00      0.1466E+11
  0.1802E+03      0.0000E+00      0.1466E+11
  0.1804E+03      0.0000E+00      0.1466E+11
  0.1807E+03      0.0000E+00      0.1467E+11
  0.1810E+03      0.0000E+00      0.1467E+11
  0.1812E+03      0.0000E+00      0.1467E+11
  0.1815E+03      0.0000E+00      0.1468E+11
  0.1817E+03      0.0000E+00      0.1468E+11
  0.1820E+03      0.0000E+00      0.1468E+11
  0.1823E+03      0.0000E+00      0.1469E+11
  0.1827E+03      0.0000E+00      0.1469E+11
  0.1836E+03      0.0000E+00      0.1470E+11
  0.1850E+03      0.0000E+00      0.1472E+11
  0.1863E+03      0.0000E+00      0.1474E+11
  0.1877E+03      0.0000E+00      0.1475E+11
  0.1891E+03      0.0000E+00      0.1477E+11
  0.1904E+03      0.0000E+00      0.1479E+11
  0.1917E+03      0.0000E+00      0.1480E+11
  0.1931E+03      0.0000E+00      0.1482E+11
  0.1944E+03      0.0000E+00      0.1483E+11
  0.1958E+03      0.0000E+00      0.1485E+11
  0.1968E+03      0.0000E+00      0.1486E+11
  0.1980E+03      0.0000E+00      0.1489E+11
  0.1994E+03      0.0000E+00      0.1491E+11
  0.1999E+03      0.0000E+00      0.1492E+11
  0.2008E+03      0.0000E+00      0.1513E+11
  0.2021E+03      0.0000E+00      0.1515E+11
  0.2035E+03      0.0000E+00      0.1516E+11
  0.2049E+03      0.0000E+00      0.1518E+11
  0.2062E+03      0.0000E+00      0.1520E+11
  0.2075E+03      0.0000E+00      0.1521E+11
  0.2088E+03      0.0000E+00      0.1523E+11
  0.2095E+03      0.0000E+00      0.1523E+11
  0.2098E+03      0.0000E+00      0.1524E+11
  0.2100E+03      0.0000E+00      0.1524E+11
  0.2103E+03      0.0000E+00      0.1524E+11
  0.2109E+03      0.0000E+00      0.1530E+11
  0.2122E+03      0.0000E+00      0.1531E+11
  0.2135E+03      0.0000E+00      0.1533E+11
  0.2148E+03      0.0000E+00      0.1534E+11
  0.2162E+03      0.0000E+00      0.1536E+11
  0.2175E+03      0.0000E+00      0.1537E+11
  0.2188E+03      0.0000E+00      0.1539E+11
  0.2189E+03      0.0000E+00      0.1539E+11
  0.2196E+03      0.0000E+00      0.1539E+11
  0.2207E+03      0.0000E+00      0.1541E+11
  0.2208E+03      0.0000E+00      0.1541E+11
  0.2217E+03      0.0000E+00      0.1542E+11
  0.2230E+03      0.0000E+00      0.1543E+11
  0.2244E+03      0.0000E+00      0.1545E+11
  0.2248E+03      0.0000E+00      0.1545E+11
  0.2251E+03      0.0000E+00      0.1545E+11
  0.2254E+03      0.0000E+00      0.1546E+11
  0.2260E+03      0.0000E+00      0.1546E+11
  0.2273E+03      0.0000E+00      0.1548E+11
  0.2284E+03      0.0000E+00      0.1549E+11
  0.2295E+03      0.0000E+00      0.1550E+11
  0.2306E+03      0.0000E+00      0.1551E+11
  0.2309E+03      0.0000E+00      0.1551E+11
  0.2311E+03      0.0000E+00      0.1552E+11
  0.2315E+03      0.0000E+00      0.1552E+11
  0.2321E+03      0.0000E+00      0.1552E+11
  0.2334E+03      0.0000E+00      0.1554E+11
